CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Gradient,log_det_hessian,PDH
NZ,0.7,Diag,Diag,05length,HamelCope,N_h07_Rb_Vb_D05l_Mhac,8.01732e-05,191.09,TRUE
NZ,0.7,Diag,Diag,05length,Estimated,N_h07_Rb_Vb_D05l_Mest,4.17407e-07,201.881,TRUE
NZ,0.7,Diag,Diag,05weight,HamelCope,N_h07_Rb_Vb_D05w_Mhac,0.000151811,169.2,TRUE
NZ,0.7,Diag,Diag,05weight,Estimated,N_h07_Rb_Vb_D05w_Mest,6.69467e-05,179.423,TRUE
NZ,0.7,Diag,Diag,20length,HamelCope,N_h07_Rb_Vb_D20l_Mhac,2.63398e-05,197.56,TRUE
NZ,0.7,Diag,Diag,20length,Estimated,N_h07_Rb_Vb_D20l_Mest,1.95958e-05,209.527,TRUE
NZ,0.7,Diag,Diag,20weight,HamelCope,N_h07_Rb_Vb_D20w_Mhac,0.000391128,219.497,TRUE
NZ,0.7,Diag,Diag,20weight,Estimated,N_h07_Rb_Vb_D20w_Mest,9.90822e-05,232.138,TRUE
NZ,0.7,Diag,Diag,Diag,HamelCope,N_h07_Rb_Vb_Dbas_Mhac,3.54176e-05,194.165,TRUE
NZ,0.7,Diag,Diag,Diag,Estimated,N_h07_Rb_Vb_Dbas_Mest,0.000280519,205.439,TRUE
NZ,0.7,Diag,Half1to2,05length,HamelCope,N_h07_Rb_V1_D05l_Mhac,2.40918e-05,191.271,TRUE
NZ,0.7,Diag,Half1to2,05length,Estimated,N_h07_Rb_V1_D05l_Mest,6.01432e-06,202.105,TRUE
NZ,0.7,Diag,Half1to2,05weight,HamelCope,N_h07_Rb_V1_D05w_Mhac,4.56359e-05,169.39,TRUE
NZ,0.7,Diag,Half1to2,05weight,Estimated,N_h07_Rb_V1_D05w_Mest,7.36828e-05,179.697,TRUE
NZ,0.7,Diag,Half1to2,20length,HamelCope,N_h07_Rb_V1_D20l_Mhac,3.19576e-06,197.979,TRUE
NZ,0.7,Diag,Half1to2,20length,Estimated,N_h07_Rb_V1_D20l_Mest,0.000273775,209.636,TRUE
NZ,0.7,Diag,Half1to2,20weight,HamelCope,N_h07_Rb_V1_D20w_Mhac,9.58627e-06,220.27,TRUE
NZ,0.7,Diag,Half1to2,20weight,Estimated,N_h07_Rb_V1_D20w_Mest,5.82184e-06,231.967,TRUE
NZ,0.7,Diag,Half1to2,Diag,HamelCope,N_h07_Rb_V1_Dbas_Mhac,0.000137906,194.43,TRUE
NZ,0.7,Diag,Half1to2,Diag,Estimated,N_h07_Rb_V1_Dbas_Mest,7.4543e-05,205.532,TRUE
NZ,0.7,Diag,Half2to1,05length,HamelCope,N_h07_Rb_V2_D05l_Mhac,2.24082e-05,190.399,TRUE
NZ,0.7,Diag,Half2to1,05length,Estimated,N_h07_Rb_V2_D05l_Mest,7.18166e-06,202.504,TRUE
NZ,0.7,Diag,Half2to1,05weight,HamelCope,N_h07_Rb_V2_D05w_Mhac,9.22142e-05,168.581,TRUE
NZ,0.7,Diag,Half2to1,05weight,Estimated,N_h07_Rb_V2_D05w_Mest,8.83463e-05,179.805,TRUE
NZ,0.7,Diag,Half2to1,20length,HamelCope,N_h07_Rb_V2_D20l_Mhac,0.000154206,196.813,TRUE
NZ,0.7,Diag,Half2to1,20length,Estimated,N_h07_Rb_V2_D20l_Mest,2.75495e-05,209.602,TRUE
NZ,0.7,Diag,Half2to1,20weight,HamelCope,N_h07_Rb_V2_D20w_Mhac,3.99071e-05,218.764,TRUE
NZ,0.7,Diag,Half2to1,20weight,Estimated,N_h07_Rb_V2_D20w_Mest,4.73971e-05,232.418,TRUE
NZ,0.7,Diag,Half2to1,Diag,HamelCope,N_h07_Rb_V2_Dbas_Mhac,0.00097356,193.481,TRUE
NZ,0.7,Diag,Half2to1,Diag,Estimated,N_h07_Rb_V2_Dbas_Mest,7.99879e-05,205.807,TRUE
NZ,0.7,MoreR2,Diag,05length,HamelCope,N_h07_R2_Vb_D05l_Mhac,2.77454e-08,192.98,TRUE
NZ,0.7,MoreR2,Diag,05length,Estimated,N_h07_R2_Vb_D05l_Mest,0.002326,202.211,TRUE
NZ,0.7,MoreR2,Diag,05weight,HamelCope,N_h07_R2_Vb_D05w_Mhac,6.19944e-06,171.019,TRUE
NZ,0.7,MoreR2,Diag,05weight,Estimated,N_h07_R2_Vb_D05w_Mest,3.8213e-05,179.662,TRUE
NZ,0.7,MoreR2,Diag,20length,HamelCope,N_h07_R2_Vb_D20l_Mhac,6.72371e-05,199.669,TRUE
NZ,0.7,MoreR2,Diag,20length,Estimated,N_h07_R2_Vb_D20l_Mest,0.000504647,209.47,TRUE
