CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Clatest,Flatest,Fmsy,Frecent,MSY,SB0,SBF0,SBlatest,SBmsy,SBrecent,TBlatest,TBrecent,Flatest_Fmsy,Frecent_Fmsy,SBlatest_SB0,SBlatest_SBF0,SBlatest_SBmsy,SBrecent_SB0,SBrecent_SBF0,SBrecent_SBmsy
NZ,0.7,Diag,Half1to2,20length,Estimated,N_h07_Rb_V1_D20l_Mest,5939.99,0.0596169,0.158444,0.059730825,9605.55,86905.8,89280.24,42428.2,23208.3,43655.3,106890,106162.25,0.376264800181768,0.376983823937795,0.488209072351903,0.475224976993789,1.82814768854246,0.502328958481482,0.488969339688155,1.88102101403377
NZ,0.7,Diag,Half1to2,20weight,HamelCope,N_h07_Rb_V1_D20w_Mhac,5835.29,0.0629506,0.162315,0.062403025,9905.33,84509.2,86720.08,39591.3,22414.5,41478.55,100818,101138.5,0.387829837045252,0.384456304100052,0.468485088014086,0.456541322378854,1.76632536973834,0.490816976139876,0.478303871490893,1.85052309888688
NZ,0.7,Diag,Half1to2,20weight,Estimated,N_h07_Rb_V1_D20w_Mest,5826.49,0.0739957,0.159426,0.073347025,8807.67,78435.4,80643.2,33575.6,20909.2,35146.2,85539.4,85752.625,0.464138220867362,0.460069405241303,0.428066918763721,0.416347565572795,1.60578118722859,0.448091040525069,0.435823479227015,1.6808964474968
NZ,0.7,Diag,Half1to2,Diag,HamelCope,N_h07_Rb_V1_Dbas_Mhac,5948.74,0.0450574,0.162275,0.045135025,11906.5,101949,104414.51,56557.8,27035.5,58358.75,142037,141333.25,0.277660761053767,0.27813911569866,0.554765618103169,0.541666096024394,2.09198276340367,0.572430823254765,0.558914177732578,2.15859702983115
NZ,0.7,Diag,Half1to2,Diag,Estimated,N_h07_Rb_V1_Dbas_Mest,5940.14,0.0549759,0.159289,0.055156475,10189.8,91197.1,93475.72,46223.4,24309.7,47596.425,116145,115337.5,0.345133060035533,0.34626669135973,0.506851643308833,0.494496324821034,1.901438520426,0.521907220733993,0.509184898495567,1.95791906111552
NZ,0.7,Diag,Half2to1,05length,HamelCope,N_h07_Rb_V2_D05l_Mhac,6023.63,0.0339757,0.16274,0.034067925,14978.5,127910,130524.65,78024.3,33884.7,80778.35,191404,190904.25,0.20877288927123,0.209339590758265,0.609993745602377,0.597774443371424,2.30264101497136,0.631524900320538,0.618874289262603,2.38391811053366
NZ,0.7,Diag,Half2to1,05length,Estimated,N_h07_Rb_V2_D05l_Mest,6007.37,0.0559139,0.155985,0.056316775,10045.4,94807.2,96830.45,47169.6,25406.2,48626.775,115740,114905,0.358456902907331,0.361039683302882,0.49753183302534,0.487136019712807,1.85661767600035,0.512901709996709,0.502184746637034,1.91397277042612
NZ,0.7,Diag,Half2to1,05weight,HamelCope,N_h07_Rb_V2_D05w_Mhac,6071.3,0.0277988,0.162791,0.027891225,17133.1,146510,150310.11,96686.3,38810.9,99653.55,234896,234147,0.170763740010197,0.171331492527228,0.659929697631561,0.643245487612244,2.49121509678982,0.680182581393762,0.662986342036474,2.56766913418653
NZ,0.7,Diag,Half2to1,05weight,Estimated,N_h07_Rb_V2_D05w_Mest,6061.91,0.0451145,0.156784,0.045495875,11403.2,106577,109250.26,59491.3,28518,61008.875,144295,143108.25,0.287749387692622,0.290181874425962,0.558200174521707,0.544541495828019,2.08609650045585,0.572439410004035,0.558432309451712,2.13931113682586
NZ,0.7,Diag,Half2to1,20length,HamelCope,N_h07_Rb_V2_D20l_Mhac,6029.7,0.0357361,0.16289,0.035745275,14364.8,122117,125102.65,73843.8,32358.6,76430.2,181695,181397.5,0.219387930505249,0.219444256860458,0.604697134715068,0.590265673828652,2.28204557675548,0.62587682304675,0.610939896157276,2.36197486912289
NZ,0.7,Diag,Half2to1,20length,Estimated,N_h07_Rb_V2_D20l_Mest,6008.92,0.0625037,0.154791,0.062839675,9275.25,88876.7,91090.73,41904.6,23878.2,43154.575,103221,102496.5,0.403794148238593,0.40596465556783,0.471491403258672,0.460031443375193,1.75493127622685,0.48555555055487,0.473753750793302,1.80727923377809
NZ,0.7,Diag,Half2to1,20weight,HamelCope,N_h07_Rb_V2_D20w_Mhac,5919.98,0.0497572,0.162855,0.04944825,11803.6,100282,102548.7,52182,26570.4,54754.025,129670,130246.5,0.305530686807283,0.303633600442111,0.520352605652061,0.508850916686413,1.96391473218318,0.546000528509603,0.533931926977134,2.06071511907988
NZ,0.7,Diag,Half2to1,20weight,Estimated,N_h07_Rb_V2_D20w_Mest,5888.75,0.0826893,0.154617,0.08219425,8189,78569,80717.14,31041.8,21115.5,32555.1,77339.7,77585.55,0.534800830439085,0.531599047970146,0.395089666407871,0.384575072902732,1.47009542752954,0.414350443559165,0.403323259471285,1.54176315976415
