Year,SB_SBmsy,F_Fmsy
1952,4.45600029450589,0.000702681159788188
1953,4.46202714713199,0.00182041154101956
1954,4.46095430425614,0.0114424751354288
1955,4.45363372933857,0.0167427538623221
1956,4.44227947556916,0.0134339254799027
1957,4.43280269683248,0.00969923895881036
1958,4.42719130786909,0.0185495539862007
1959,4.41644184297577,0.0214502937040215
1960,4.40435132448764,0.0148723897911833
1961,4.39667313527812,0.0250327212172597
1962,4.38403041825095,0.0239045119233171
1963,4.37190834556059,0.033785507216945
1964,4.35619435284961,0.0177751095361152
1965,4.35040415674024,0.0420023151086223
1966,4.3308510694245,0.0490391283819117
1967,4.30725904422321,0.040916752552458
1968,4.28867361910922,0.0589987155208741
1969,4.25968582532645,0.0496480628734763
1970,4.23494733077744,0.0442599014048038
1971,4.21987494017849,0.0799672026278514
1972,4.17449999737048,0.0798839399493316
1973,4.13351108867257,0.0614224717846137
1974,4.11740792746741,0.0781207004218981
1975,4.09051848813299,0.0502826361776338
1976,4.08312954577726,0.0833474642960496
1977,4.05546702848819,0.0308523255164571
1978,4.06208815192297,0.0363205511583159
1979,4.06717363751584,0.0694436123817695
1980,4.05028162125491,0.0787472013078333
1981,4.02448080189746,0.102223215056329
1982,3.97881135320196,0.0975437509836673
1983,3.93677063776302,0.0631562647550097
1984,3.91720703237987,0.0716028573314312
1985,3.89473518135778,0.0871679012220321
1986,3.87065406602191,0.0897993064828118
1987,3.845610547518,0.0894225936324359
1988,3.82876060352671,0.129834439271553
1989,3.79560239601576,0.101297171607427
1990,3.76716154173832,0.0880614519183417
1991,3.74490005206443,0.0755004645448222
1992,3.7543663127337,0.093660867048795
1993,3.79996739399103,0.0731107241314535
1994,3.9286822439245,0.101739885361507
1995,4.07025017223335,0.0718912305106947
1996,4.17572535222378,0.108007432717156
1997,4.2242820104234,0.157390324267517
1998,4.21086621544157,0.202647651637076
1999,4.11650863270383,0.22528748470556
2000,3.93009692399119,0.25622464676824
2001,3.71095824853141,0.312570633659445
2002,3.51389173753215,0.342790924368041
2003,3.31620466055567,0.354425868292658
2004,3.08436541869797,0.410207801306818
2005,2.89002834619167,0.336794996116101
2006,2.78007246948446,0.429045474622652
2007,2.65158901703401,0.456007859184533
2008,2.54951117281711,0.390642087253195
2009,2.5462400538525,0.335040387476075
2010,2.62170718752136,0.278257271522641
2011,2.72220206259302,0.3537460589845
2012,2.78664100258219,0.370006650860296
2013,2.87904748381532,0.359601354541624
2014,2.9729212354522,0.389373346804287
2015,2.99960557247211,0.417254667025441
2016,2.94657873562312,0.360748247168307
2017,2.87284708307696,0.359291150294212
2018,2.73724289898974,0.431729680606396
2019,2.53166201242184,0.361343270700168
2020,2.35162425255983,0.301541882650393
2021,2.21174973310404,0.294659003792513
2022,2.13737121941215,0.316551503551356
2023,2.1500928219449,0.364850457183183
